"error_severity","event_message","id","identifier","timestamp"
"ERROR","relation "public.tables" does not exist","1408a2cd-e9d1-4a89-8483-ed572d250868","emczcwlvbdrkaoyhpxzy","1737098893845000"
"ERROR","relation "public.tables" does not exist","95994cdc-393b-4b1c-a92b-fd7fa471c4ce","emczcwlvbdrkaoyhpxzy","1737098893832000"
"ERROR","relation "public.tables" does not exist","aaefecc8-c740-44b0-84a5-b73dc9f4c888","emczcwlvbdrkaoyhpxzy","1737098893803000"
"ERROR","relation "public.tables" does not exist","453b5cdd-621d-4442-819c-df28ac057924","emczcwlvbdrkaoyhpxzy","1737098893680000"
"ERROR","relation "public.tables" does not exist","37002950-7191-4cbb-a155-077517642db0","emczcwlvbdrkaoyhpxzy","1737098893671000"
"ERROR","relation "public.tables" does not exist","0222f748-8348-45b6-8fa6-2aa60ff51f0d","emczcwlvbdrkaoyhpxzy","1737098893664000"
"ERROR","relation "public.tables" does not exist","4afd5b97-96c1-4808-85ac-5bc9ec3a15ab","emczcwlvbdrkaoyhpxzy","1737098893659000"
"ERROR","relation "public.tables" does not exist","9918fd3a-2e4b-4a97-b5d4-2cd2e6eca6aa","emczcwlvbdrkaoyhpxzy","1737098893658000"
"ERROR","relation "public.tables" does not exist","724ac7ef-7090-4efe-aa1f-f340599c829e","emczcwlvbdrkaoyhpxzy","1737098893654000"
"ERROR","relation "public.tables" does not exist","edd87362-72d4-4e3a-b337-a8c91d2a949c","emczcwlvbdrkaoyhpxzy","1737098893654000"
"ERROR","relation "public.tables" does not exist","81247f85-f838-4e25-842d-3521a5bdd471","emczcwlvbdrkaoyhpxzy","1737098893653000"
"LOG","connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","442ad325-14b5-4caf-878a-083664840441","emczcwlvbdrkaoyhpxzy","1737098893641000"
"LOG","connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","54af1f15-1195-4d5f-8723-b0ae2f5e8f5f","emczcwlvbdrkaoyhpxzy","1737098893639000"
"LOG","connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","57d48ef2-96b6-484f-9bde-81f287e536a7","emczcwlvbdrkaoyhpxzy","1737098893639000"
"LOG","connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","f834a5ce-2cd0-44ec-afa2-9ac95e73846c","emczcwlvbdrkaoyhpxzy","1737098893629000"
"LOG","connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","efad4c53-f5ce-4e23-a3b3-08754b2ee126","emczcwlvbdrkaoyhpxzy","1737098893629000"
"LOG","connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","31271687-4120-4902-8b33-deb35fbc5eb2","emczcwlvbdrkaoyhpxzy","1737098893627000"
"LOG","connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","3bba9a5a-2096-4188-8e57-3a277c18f1bb","emczcwlvbdrkaoyhpxzy","1737098893626000"
"LOG","connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","2a743351-bf8d-4fca-8560-27c6325f00d9","emczcwlvbdrkaoyhpxzy","1737098893625000"
